cardName,cleanName,cardNumber,setName,setEra,supertype,cardSubType,stage,cardRarity,finishType,marketPrice
Crabominable - 134 (Prerelease) [Staff],Crabominable 134 Prerelease Staff,134/142,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Stage 1,Promo,Reverse Holofoil,16.97
Drifblim - 135 (Prerelease) [Staff],Drifblim 135 Prerelease Staff,135,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Stage 1,Promo,Reverse Holofoil,16.97
Bouffalant - 136 (Prerelease) [Staff],Bouffalant 136 Prerelease Staff,136,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Colorless,Basic,Promo,Holofoil,18.0
Paradise Resort - 045 (World Championships 2023) [Staff],Paradise Resort 045 World Championships 2023 Staff,045,Scarlet & Violet Promos,Scarlet & Violet,trainer,Stadium,,Promo,Normal,696.52
Paradise Resort - 150 (World Championships 2024) [Staff],Paradise Resort 150 World Championships 2024 Staff,150,Scarlet & Violet Promos,Scarlet & Violet,trainer,Stadium,,Promo,Normal,433.51
Raging Bolt ex - 145,Raging Bolt ex 145,145,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Dragon,Basic,Promo,Holofoil,1.36
Iron Boulder ex - 147,Iron Boulder ex 147,147,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fighting,Basic,Promo,Holofoil,0.62
Tinkaton - 140 (Cosmo Holo),Tinkaton 140 Cosmo Holo,140,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Stage 2,Promo,Holofoil,1.22
Horsea - 137 (Cosmo Holo),Horsea 137 Cosmo Holo,137,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Basic,Promo,Holofoil,1.43
Latias - 139 (Cosmo Holo),Latias 139 Cosmo Holo,139,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Basic,Promo,Holofoil,2.42
Victini ex - 142,Victini ex 142,142,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fire,Basic,Promo,Holofoil,4.74
Charizard ex - 161,Charizard ex 161,161,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fire,Stage 2,Promo,Holofoil,7.48
Squawkabilly ex - 160,Squawkabilly ex 160,160,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Colorless,Basic,Promo,Holofoil,0.83
Houndstone ex,Houndstone ex,162,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Stage 1,Promo,Holofoil,0.65
Miraidon ex - 143,Miraidon ex 143,143,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Basic,Promo,Holofoil,6.02
Miraidon - 148,Miraidon 148,148,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Basic,Promo,Holofoil,8.12
Gouging Fire - 151,Gouging Fire 151,151,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fire,Basic,Promo,Holofoil,5.64
Chien-Pao - 152,Chien Pao 152,152,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Basic,Promo,Holofoil,10.54
Magneton - 153,Magneton 153,153,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Stage 1,Promo,Holofoil,5.58
Magneton - 159,Magneton 159,159,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Stage 1,Promo,Holofoil,7.71
Indeedee - 154,Indeedee 154,154,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Basic,Promo,Holofoil,2.91
Wooper - 155,Wooper 155,155,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Basic,Promo,Holofoil,5.77
Quagsire - 156,Quagsire 156,156,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Stage 1,Promo,Holofoil,1.09
Zapdos - 157,Zapdos 157,157,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Basic,Promo,Holofoil,0.84
Pachirisu - 158,Pachirisu 158,158,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Basic,Promo,Holofoil,1.05
Magneton - 159 (Pokémon Center Exclusive),Magneton 159 Pokemon Center Exclusive,159,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Stage 1,Promo,Holofoil,65.19
Sprigatito - 191,Sprigatito 191,191,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Grass,Basic,Promo,Holofoil,2.55
Fuecoco - 192,Fuecoco 192,192,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fire,Basic,Promo,Holofoil,1.37
Bloodmoon Ursaluna ex - 177,Bloodmoon Ursaluna ex 177,177,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Colorless,Basic,Promo,Holofoil,1.29
Cinderace ex - 163,Cinderace ex 163,163,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fire,Stage 2,Promo,Holofoil,4.86
Lapras ex - 164,Lapras ex 164,164,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Basic,Promo,Holofoil,8.56
Terapagos ex - 165,Terapagos ex 165,165,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Colorless,Basic,Promo,Holofoil,4.52
Teal Mask Ogerpon ex - 166,Teal Mask Ogerpon ex 166,166,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Grass,Basic,Ultra Rare,Holofoil,5.48
Gouging Fire - 151 (Staff),Gouging Fire 151 Staff,151,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fire,Basic,Promo,Holofoil,38.33
Chien-Pao - 152 (Staff),Chien Pao 152 Staff,152,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Basic,Promo,Holofoil,35.35
Magneton - 153 (Staff),Magneton 153 Staff,153,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Stage 1,Promo,Holofoil,34.55
Indeedee - 154 (Staff),Indeedee 154 Staff,154,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Basic,Promo,Holofoil,20.92
Pawmi - 040 (Cosmos Holo),Pawmi 040 Cosmos Holo,040,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Basic,Promo,Holofoil,0.37
Eevee - 173 (Pokemon Center Exclusive),Eevee 173 Pokemon Center Exclusive,173,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Colorless,Basic,Promo,Holofoil,94.07
Eevee - 173,Eevee 173,173,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Colorless,Basic,Promo,Holofoil,15.3
Flareon - 167 (Cosmos Holo),Flareon 167 Cosmos Holo,167,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fire,Stage 1,Promo,Holofoil,0.84
Vaporeon - 168 (Cosmos Holo),Vaporeon 168 Cosmos Holo,168,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Stage 1,Promo,Holofoil,0.93
Leafeon - 170 (Cosmos Holo),Leafeon 170 Cosmos Holo,170,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Grass,Stage 1,Promo,Holofoil,1.35
Glaceon - 171 (Cosmos Holo),Glaceon 171 Cosmos Holo,171,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Stage 1,Promo,Holofoil,0.92
Sylveon - 172 (Cosmos Holo),Sylveon 172 Cosmos Holo,172,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Stage 1,Promo,Holofoil,2.89
Kyogre ex - 178,Kyogre ex 178,178,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Basic,Promo,Holofoil,1.65
Xerneas ex - 179,Xerneas ex 179,179,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Basic,Promo,Holofoil,0.71
Dialga ex - 180,Dialga ex 180,180,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Metal,Basic,Promo,Holofoil,0.74
Feraligatr - 213 (Illustration Contest 2024),Feraligatr 213 Illustration Contest 2024,213,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Stage 2,Promo,Normal,4.39
Pikachu - 214 (Illustration Contest 2024),Pikachu 214 Illustration Contest 2024,214,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Basic,Promo,Normal,15.42
Toxtricity ex - 215 (Illustration Contest 2024),Toxtricity ex 215 Illustration Contest 2024,215,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Stage 1,Promo,Normal,0.86
N's Darmanitan - 181 (Prerelease),Ns Darmanitan 181 Prerelease,181,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fire,Stage 1,Promo,Holofoil,11.03
Iono's Kilowattrel - 182 (Prerelease),Ionos Kilowattrel 182 Prerelease,182,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Stage 1,Promo,Holofoil,4.63
Lillie's Ribombee - 183 (Prerelease),Lillies Ribombee 183 Prerelease,183,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Stage 1,Promo,Holofoil,5.36
Hop's Snorlax - 184 (Prerelease),Hops Snorlax 184 Prerelease,184,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Colorless,Basic,Promo,Holofoil,14.31
Lillie's Ribombee - 183 (Prerelease) [Staff],Lillies Ribombee 183 Prerelease Staff,183,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Stage 1,Promo,Holofoil,22.51
Iono's Kilowattrel - 182 (Prerelease) [Staff],Ionos Kilowattrel 182 Prerelease Staff,182,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Stage 1,Promo,Holofoil,20.3
N's Darmanitan - 181 (Prerelease) [Staff],Ns Darmanitan 181 Prerelease Staff,181,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fire,Stage 1,Promo,Holofoil,37.74
Hop's Snorlax - 184 (Prerelease) [Staff],Hops Snorlax 184 Prerelease Staff,184,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Colorless,Basic,Promo,Holofoil,118.09
Hop's Zacian ex - SVP193,Hops Zacian ex SVP193,SVP193,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Metal,Basic,Double Rare,Holofoil,0.77
Yanma - 185,Yanma 185,185,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Grass,Basic,Promo,Holofoil,0.37
Scraggy - 186,Scraggy 186,186,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Darkness,Basic,Promo,Holofoil,0.61
Yanmega - 187 (Cosmos Holo),Yanmega 187 Cosmos Holo,187,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Grass,Stage 1,Promo,Holofoil,0.3
Scrafty - 188 (Cosmos Holo),Scrafty 188 Cosmos Holo,188,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Darkness,Stage 1,Promo,Holofoil,0.28
Lillie's Clefairy ex - 195,Lillies Clefairy ex 195,195,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Basic,Promo,Holofoil,13.16
Iono's Bellibolt ex - 194,Ionos Bellibolt ex 194,194,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Stage 1,Promo,Holofoil,2.34
Eevee ex - 174,Eevee ex 174,174,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Colorless,Basic,Promo,Holofoil,32.62
Zacian ex - 198,Zacian ex 198,198,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Metal,Basic,Promo,Holofoil,0.65
Koraidon ex - 197,Koraidon ex 197,197,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fighting,Basic,Promo,Holofoil,0.49
Marnie’s Morpeko,Marnies Morpeko,206,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Darkness,Basic,Holo Rare,Holofoil,41.44
Steven's Beldum - 207,Stevens Beldum 207,207,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Metal,Basic,Promo,Holofoil,34.21
Team Rocket's Wobbuffet,Team Rockets Wobbuffet,203,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Basic,Promo,Holofoil,10.29
Team Rocket's Wobbuffet (Pokemon Center Exclusive),Team Rockets Wobbuffet Pokemon Center Exclusive,203,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Basic,Promo,Holofoil,98.81
Eevee - 200 (Cosmos Holo),Eevee 200 Cosmos Holo,SVP 200,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Colorless,Basic,Promo,Holofoil,2.87
Kangaskhan - 202 (Cosmos Holo),Kangaskhan 202 Cosmos Holo,202,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Colorless,Basic,Holo Rare,Holofoil,0.68
Cynthia's Garchomp ex,Cynthias Garchomp ex,204,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fighting,Stage 2,Promo,Holofoil,6.0
Team Rocket's Mewtwo ex,Team Rockets Mewtwo ex,205,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Basic,Promo,Holofoil,2.37
Zarude - 199 (Cosmos Holo),Zarude 199 Cosmos Holo,199,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Grass,Basic,Holo Rare,Holofoil,0.26
Zebstrika - 201 (Cosmos Holo),Zebstrika 201 Cosmos Holo,201,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Stage 1,Holo Rare,Holofoil,0.55
Charizard ex -196,Charizard ex 196,196,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Darkness,Stage 2,Promo,Holofoil,4.13
Thundurus - 209,Thundurus 209,209,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Basic,Promo,Holofoil,1.67
Thundurus - 209 (Pokemon Center Exclusive),Thundurus 209 Pokemon Center Exclusive,209,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Basic,Promo,Holofoil,22.32
Tornadus - 210,Tornadus 210,210,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Colorless,Basic,Promo,Holofoil,1.36
Tornadus - 210 (Pokemon Center Exclusive),Tornadus 210 Pokemon Center Exclusive,210,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Colorless,Basic,Promo,Holofoil,19.82
Victini - 208,Victini 208,208,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fire,Basic,Promo,Holofoil,15.75
Gothitelle - 211,Gothitelle 211,211,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Stage 2,Promo,Holofoil,3.04
Reuniclus - 212,Reuniclus 212,212,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Stage 2,Promo,Holofoil,2.04
Pikachu - 225 (World Championship 2025),Pikachu 225 World Championship 2025,225,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Basic,Promo,Normal,5.56
Paradise Resort - 224 (World Championships 2025),Paradise Resort 224 World Championships 2025,224,Scarlet & Violet Promos,Scarlet & Violet,trainer,Stadium,,Promo,Normal,206.94
Paradise Resort - 224 (World Championships 2025) [Staff],Paradise Resort 224 World Championships 2025 Staff,224,Scarlet & Violet Promos,Scarlet & Violet,trainer,Stadium,,Promo,Normal,
Pikachu - 225 (World Championship 2025) [Winner],Pikachu 225 World Championship 2025 Winner,225,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Basic,Promo,Normal,89.24
Team Rocket's Mewtwo ex - 216,Team Rockets Mewtwo ex 216,216,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Basic,Promo,Holofoil,2.56
Team Rocket's Nidoking ex - 217,Team Rockets Nidoking ex 217,217,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Darkness,Stage 2,Promo,Holofoil,1.16
Team Rocket's Persian ex - 218,Team Rockets Persian ex 218,218,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Colorless,Stage 1,Promo,Holofoil,1.04
Jolteon - 169 (Cosmos Holo),Jolteon 169 Cosmos Holo,169,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Stage 1,Rare,Holofoil,1.06
Dondozo - 012 (Cosmos Holofoil),Dondozo 012 Cosmos Holofoil,012,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Water,Basic,Promo,Holofoil,0.66
Umbreon ex - 176,Umbreon ex 176,SVP 176,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Darkness,Stage 1,Promo,Holofoil,41.29
Espeon ex - 175,Espeon ex 175,SVP 175,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Psychic,Stage 1,Promo,Holofoil,21.6
Black Belt's Training - 220,Black Belts Training 220,220,Scarlet & Violet Promos,Scarlet & Violet,trainer,Trainer - Supporter,,Promo,Normal,0.24
Black Belt's Training - 219,Black Belts Training 219,219,Scarlet & Violet Promos,Scarlet & Violet,trainer,Trainer - Supporter,,Promo,Normal,0.28
Professor's Research - 222,Professors Research 222,222,Scarlet & Violet Promos,Scarlet & Violet,trainer,Supporter,,Promo,Normal,0.18
Professor's Research - 223,Professors Research 223,223,Scarlet & Violet Promos,Scarlet & Violet,trainer,Supporter,,Promo,Normal,0.18
Professor's Research - 221,Professors Research 221,221,Scarlet & Violet Promos,Scarlet & Violet,trainer,Supporter,,Promo,Normal,0.18
Rockruff - 116/193 (Cosmos Holo),Rockruff 116 193 Cosmos Holo,116/193,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Fighting,Basic,Common,,
Pikachu (Asia Championship Series 23-24),Pikachu Asia Championship Series 23 24,101,Scarlet & Violet Promos,Scarlet & Violet,pokemon,Lightning,Basic,Promo,,
